date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,37,0,0,0
2021-04-01,Japan,0,121,0,0,0
2021-04-01,Sweden,0,9,0,0,0
2021-04-02,Afghanistan,0,30,7,0,0
2021-04-02,Japan,0,90,31,0,0
2021-04-02,Sweden,0,7,2,0,0
2021-04-03,Afghanistan,0,26,11,0,0
2021-04-03,Japan,0,59,62,0,0
2021-04-03,Sweden,0,5,4,0,0
2021-04-04,Afghanistan,0,21,16,0,0
2021-04-04,Japan,0,44,77,0,0
2021-04-04,Sweden,0,2,7,0,0
2021-04-05,Afghanistan,0,17,20,0,0
2021-04-05,Japan,0,40,81,0,0
2021-04-05,Sweden,0,0,9,0,0
2021-04-06,Afghanistan,0,16,14,3,4
2021-04-06,Japan,0,26,64,17,14
2021-04-06,Sweden,0,0,7,0,2
2021-04-07,Afghanistan,0,16,10,5,6
2021-04-07,Japan,0,18,41,31,31
2021-04-07,Sweden,0,0,5,0,4
2021-04-08,Afghanistan,0,9,12,6,10
2021-04-08,Japan,0,15,29,35,42
2021-04-08,Sweden,0,0,2,0,7
2021-04-09,Afghanistan,0,8,9,8,12
2021-04-09,Japan,0,15,25,36,45
2021-04-09,Sweden,0,0,0,2,7
2021-04-10,Afghanistan,0,7,9,8,13
2021-04-10,Japan,0,15,11,44,51
2021-04-10,Sweden,0,0,0,2,7
2021-04-11,Afghanistan,0,7,9,8,13
2021-04-11,Japan,0,14,4,49,54
2021-04-11,Sweden,0,0,0,2,7
2021-04-12,Afghanistan,0,6,3,10,18
2021-04-12,Japan,0,9,6,50,56
2021-04-12,Sweden,0,0,0,2,7
2021-04-13,Afghanistan,0,5,3,11,18
2021-04-13,Japan,0,9,6,50,56
2021-04-13,Sweden,0,0,0,2,7
2021-04-14,Afghanistan,0,4,3,11,19
2021-04-14,Japan,0,7,8,50,56
2021-04-14,Sweden,0,0,0,2,7
2021-04-15,Afghanistan,0,4,3,11,19
2021-04-15,Japan,0,5,9,50,57
2021-04-15,Sweden,0,0,0,2,7
2021-04-16,Afghanistan,0,3,3,11,20
2021-04-16,Japan,0,4,5,53,59
2021-04-16,Sweden,0,0,0,2,7
2021-04-17,Afghanistan,0,2,3,11,21
2021-04-17,Japan,0,4,5,53,59
2021-04-17,Sweden,0,0,0,2,7
2021-04-18,Afghanistan,0,2,2,11,22
2021-04-18,Japan,0,4,3,55,59
2021-04-18,Sweden,0,0,0,2,7
2021-04-19,Afghanistan,0,2,2,11,22
2021-04-19,Japan,0,3,2,57,59
2021-04-19,Sweden,0,0,0,2,7
2021-04-20,Afghanistan,0,2,1,15,19
2021-04-20,Japan,3,3,1,68,46
2021-04-20,Sweden,0,0,0,4,5
2021-04-21,Afghanistan,0,1,1,18,17
2021-04-21,Japan,7,3,1,81,29
2021-04-21,Sweden,0,0,0,6,3
2021-04-22,Afghanistan,1,1,1,21,13
2021-04-22,Japan,8,3,1,91,18
2021-04-22,Sweden,2,0,0,7,0
2021-04-23,Afghanistan,1,1,1,23,11
2021-04-23,Japan,8,3,0,94,16
2021-04-23,Sweden,2,0,0,7,0
2021-04-24,Afghanistan,2,1,1,23,10
2021-04-24,Japan,9,3,0,99,10
2021-04-24,Sweden,2,0,0,7,0
2021-04-25,Afghanistan,2,1,0,23,11
2021-04-25,Japan,9,3,0,102,7
2021-04-25,Sweden,2,0,0,7,0
2021-04-26,Afghanistan,3,1,0,27,6
2021-04-26,Japan,9,3,0,104,5
2021-04-26,Sweden,2,0,0,7,0
2021-04-27,Afghanistan,3,1,0,27,6
2021-04-27,Japan,9,3,0,104,5
2021-04-27,Sweden,2,0,0,7,0
2021-04-28,Afghanistan,3,0,1,28,5
2021-04-28,Japan,9,3,0,104,5
2021-04-28,Sweden,2,0,0,7,0
2021-04-29,Afghanistan,3,0,1,28,5
2021-04-29,Japan,9,2,1,105,4
2021-04-29,Sweden,2,0,0,7,0
2021-04-30,Afghanistan,3,0,1,29,4
2021-04-30,Japan,9,2,1,107,2
2021-04-30,Sweden,2,0,0,7,0
2021-05-01,Afghanistan,3,0,1,30,3
